,First Name,Last Name,University of Ph.D.,University of Ph.D. ID,Department of Ph.D.,Year of Ph.D.,School of Faculty Position,Current School ID,Department of Faculty Position,Year Faculty Started,Job Title,
83,Joseph,Moldenhauer,Columbia University,246,Unspecified,1964,University of Texas at Austin,49,English,Unspecified,Professor Emeritus,
84,Roger,deVeer Renwick,University of Pennsylvania,144,Unspecified,1974,University of Texas at Austin,49,English,Unspecified,Professor Emeritus ,
85,Charles,Rossman,University of Southern California,4,Unspecified,1968,University of Texas at Austin,49,English,Unspecified,University Distinguished Teaching Professor Emeritus,
86,William,Scheick,University of Illinois at Champaign-Urbana,117,Unspecified,1969,University of Texas at Austin,49,English,Unspecified,J.R. Millikan Centennial Professor Emeritus,
87,Thomas,Staley,University of Pittsburgh,143,Unspecified,1962,University of Texas at Austin,49,English,Unspecified,Professor Emeritus,
88,William,Stott,Yale University,21,Unspecified,1972,University of Texas at Austin,49,English,Unspecified,Professor Emeritus,
89,William,Sutherland,University of North Carolina,100,Unspecified,1950,University of Texas at Austin,49,English,Unspecified,Professor Emeritus,
90,John,Trimble,University of California at Berkeley,1,Unspecified,1971,University of Texas at Austin,49,English,Unspecified,University Distinguished Teaching Professor Emeritus,
91,Robert,Twombly,Yale University,21,Unspecified,1965,University of Texas at Austin,49,English,Unspecified,Associate Professor Emeritus,
92,Gary,Underwood,University of Minnesota Twin Cities,186,English Language & Linguistics,1970,University of Texas at Austin,49,English,Unspecified,Associate Professor Emeritus,
93,Thomas,Whitbread,Harvard University,22,Unspecified,1959,University of Texas at Austin,49,English,Unspecified,Professor Emeritus,
94,James,Wimsatt,Duke University,20,Unspecified,1964,University of Texas at Austin,49,English,Unspecified,Professor Emeritus,
95,Jason,Abrevaya,Massachusetts Institute of Technology,195,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Professor and Department Chair,
96,V.,Bhaskar,University of Oxford,390,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Professor,
97,Sandra,Black,Harvard University,22,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Professor,
98,Stephen,Donald,University of British Columbia,153,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Professor,
99,Richard,Dusansky,Brown University,262,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Professor,
100,Eugenio,Miravete,Northwestern University,235,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Professor,
101,David,Sibley,Yale University,21,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Professor,
102,Daniel,Slesnick,Harvard University,22,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Professor,
103,Dale,Stahl,University of California at Berkeley,1,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Malcolm Forsman Centennial Professor,
104,Maxwell,Stinchcombe,University of California at Berkeley,1,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Professor,
105,Stephen,Trejo,University of Chicago,122,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Professor and Associate Department Chair,
106,Svetlana,Boyarchenko,University of Pennsylvania,144,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Associate Professor,
107,Olivier,Coibion,University of Michigan,108,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Associate Professor,
108,Leigh,Linden,Massachusetts Institute of Technology,195,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Associate Professor,
109,Gerald,Oettinger,Massachusetts Institute of Technology,195,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Associate Professor,
110,Thomas,Wiseman,Northwestern University,235,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Associate Professor,
111,Saroj,Bhattarai,Princeton University,181,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Assistant Professor,
112,Marika,Cabral,Stanford University,232,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Assistant Professor,
113,Michael,Geruso,Princeton University,181,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Assistant Professor,
